,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4848,3CFRrpmTnGYi0JC7QDIxFP,Don't Lose My Number - 2016 Remaster,Phil Collins,https://open.spotify.com/track/3CFRrpmTnGYi0JC7QDIxFP,0.581,0.833,5,-5.03,0.0799,0.172,7.48e-05,0.0581,0.952,80.575
4849,7Dbg5O9nNWu6SWxDjJ9qoq,In The Air Tonight,Phil Collins,https://open.spotify.com/track/7Dbg5O9nNWu6SWxDjJ9qoq,0.597,0.313,2,-10.791,0.0265,0.669,6.23e-06,0.0734,0.357,94.987
4850,0Lwo7KgwUGy3Nfrd9YHVMt,Your Love,The Outfield,https://open.spotify.com/track/0Lwo7KgwUGy3Nfrd9YHVMt,0.555,0.757,1,-7.868,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
4851,1vhNjOtmfgoGy4J6ijCUSS,Higher Love - Full Album Version,Steve Winwood,https://open.spotify.com/track/1vhNjOtmfgoGy4J6ijCUSS,0.702,0.779,5,-12.267,0.0412,0.0561,0.0905,0.303,0.949,98.7
4852,2LKPCm25tP68EP8w5SczZH,Africa,TOTO,https://open.spotify.com/track/2LKPCm25tP68EP8w5SczZH,0.693,0.582,9,-9.341,0.0297,0.204,0.00027,0.0508,0.678,92.667
4853,3OQtbwQ9U4A0VDH1rjamZJ,Too Shy - 2004 Remaster,Kajagoogoo,https://open.spotify.com/track/3OQtbwQ9U4A0VDH1rjamZJ,0.691,0.79,10,-10.263,0.0633,0.0418,6.93e-05,0.091,0.746,108.266
4854,1pKeFVVUOPjFsOABub0OaV,Side To Side,Ariana Grande,https://open.spotify.com/track/1pKeFVVUOPjFsOABub0OaV,0.65,0.736,6,-5.84,0.229,0.0528,0.0,0.235,0.613,159.173
4855,0vE909ySKQYBgx7oACaHpQ,Side,Travis,https://open.spotify.com/track/0vE909ySKQYBgx7oACaHpQ,0.455,0.849,7,-5.461,0.0284,0.000493,1.52e-05,0.466,0.533,90.955
4856,5e7OZ8PyDJYQdGAiidCPad,One,Aimee Mann,https://open.spotify.com/track/5e7OZ8PyDJYQdGAiidCPad,0.612,0.166,4,-13.974,0.041,0.848,0.00139,0.125,0.356,124.433
4857,7DJsL4jyXA39GDiHFQYQ0t,Mess Around,Ray Charles,https://open.spotify.com/track/7DJsL4jyXA39GDiHFQYQ0t,0.565,0.962,8,-2.981,0.064,0.437,0.0,0.056,0.906,148.808
4858,7f9sC9fvtjYSZYOLSmKJlq,Tom's Diner,Suzanne Vega,https://open.spotify.com/track/7f9sC9fvtjYSZYOLSmKJlq,0.86,0.439,6,-12.264,0.0495,0.0204,0.0147,0.0465,0.725,99.144
4859,14gEDPQtsTcbZOWs7EXg4V,Pick Yourself Up,Nat King Cole,https://open.spotify.com/track/14gEDPQtsTcbZOWs7EXg4V,0.579,0.164,10,-16.947,0.0544,0.873,3.29e-06,0.217,0.311,108.443
4860,1fPCGREltHJuV3axEPydLp,Loba,Shakira,https://open.spotify.com/track/1fPCGREltHJuV3axEPydLp,0.853,0.706,7,-7.598,0.0451,0.403,0.046,0.0751,0.778,121.991
4861,4wzt5Rrk3W98pHXAqutuJw,Talk,Coldplay,https://open.spotify.com/track/4wzt5Rrk3W98pHXAqutuJw,0.415,0.554,7,-10.839,0.0334,0.00541,0.00202,0.155,0.163,120.318
4862,2fY6tqgrlrg1ky9fgs0t5u,Wanted Dead Or Alive,Bon Jovi,https://open.spotify.com/track/2fY6tqgrlrg1ky9fgs0t5u,0.257,0.803,7,-3.886,0.0411,0.137,0.0156,0.297,0.294,150.818
